is_reliable,survey_date,latitude,longitude,lat_lng_accuracy,total_count,vic_x,vic_y,within_built_up_area,within_forest_u2,within_water_area,within_public_land_su3,jan_rainfaull,jan_max_temp,july_rainfall,july_max_temp,LandSat_1,LandSat_2,LandSat_3,LandSat_4,LandSat_5,LandSat_6,LandSat_7,LandSat_8
True,16/FEB/1999,-38.06222,147.55722,15,,2724394,2379103,False,False,False,True,270.9011,22.0989,68.9011,16.0989,1914.2604,1494.1016,1.286683,1.1655681,1.2860017,1.167321,1.2471685,1.1292858
True,12/MAY/1999,-38.05917,147.55528,15,,2724233,2379446,False,False,False,True,269.6445,23.5934,67.5676,17.4322,1939.4587,1601.5015,1.2906394,1.1809345,1.2798228,1.1779299,1.2587156,1.1530523
True,13/MAY/1999,-38.15,147.4225,15,,2712327,2369672,False,True,False,True,269.3766,19.6234,68.3504,14.6234,1645.4373,1502.401,1.2535503,1.1831787,1.2558191,1.1838151,1.2581497,1.1825593
True,15/OCT/1999,-38.075,147.53083,15,,2722041,2377747,False,False,False,True,270.5498,22.4502,68.5498,16.4316,1754.2401,1454.3285,1.2743353,1.1740339,1.2736764,1.1749978,1.280579,1.1754655
True,02/NOV/2009,-37.03861,142.37806,5,,2266799,2492504,False,False,False,False,316.2646,-7.2646,70.0873,47.685,1884.016,2047.125,1.2405043,1.2098173,1.2349063,1.2083544,1.2287543,1.2053452
True,30/MAR/2011,-38.2469,147.2089,100,,2693359,2359374,False,False,False,True,267.3532,15.7268,66.2732,14.1163,1799.4281,1493.0275,1.2757756,1.1801233,1.2739646,1.1829361,1.2752547,1.1859953
True,05/MAY/2011,-37.48465,141.93557,100,,2229049,2441858,False,False,False,False,278.641,7.9836,56.6403,58.7035,1723.9781,1412.5,1.253332,1.1659753,1.2660822,1.1756402,1.2730055,1.1870577
True,06/JAN/2012,-37.28368,144.64453,100,,2468481,2468462,False,False,False,False,282.4818,6.5773,57.0211,52.709,2139.4297,1652.6161,1.2949605,1.1787858,1.2858018,1.188553,1.2612551,1.1976275
True,10/SEP/2012,-36.530694,141.0125,50,,2143043,2544596,False,True,False,True,317.3975,-5.3975,68.3975,35.6025,1815.3492,2377.744,1.1971047,1.2052313,1.1989983,1.2063171,1.1978314,1.2050322
True,31/OCT/2017,-38.15514,141.2903,5,,2174921,2365469,False,True,False,True,250.6205,6.5616,78.5668,88.4529,2159.046,1129.6232,1.3491765,1.1450641,1.3369484,1.150211,1.3319615,1.1562717
True,02/NOV/2017,-37.20388,142.34239,5,,2264139,2474084,False,True,False,True,310.8436,-5.8436,70.8436,49.1586,1578.2627,1621.4088,1.2226356,1.1926562,1.2287633,1.1894172,1.2365991,1.1903799
True,30/OCT/2017,-37.77459,141.45338,5,,2187631,2408223,False,True,False,True,272.4893,0.9171,72.3369,64.6631,2091.229,1217.3615,1.3362236,1.1642822,1.3138276,1.178054,1.3074666,1.1825691
True,09/APR/2008,-38.06222,147.55333,15,,2724053,2379113,False,False,False,True,270.2956,22.7044,68.2956,16.7044,2003.1338,1701.6174,1.2683107,1.1663067,1.2746955,1.1666404,1.2733163,1.1625892
True,18/FEB/1999,-38.18528,147.37222,15,,2707823,2365868,False,True,False,True,269.2934,17.7768,68.2934,14.5717,1827.3174,1539.0985,1.2787402,1.1859851,1.2675576,1.1896392,1.2607139,1.1921079
True,18/MAR/1999,-38.11806,147.4675,15,,2716362,2373115,False,True,False,True,269.8985,21.1633,68.4752,15.5248,1693.9762,1458.0248,1.2648376,1.1773429,1.2665052,1.1778927,1.2644798,1.1776239
True,11/MAY/1999,-38.05861,147.55583,15,,2724283,2379507,False,False,False,True,269.4704,23.9959,67.4432,17.535,1947.9408,1695.6364,1.2839154,1.1840994,1.2802263,1.1805131,1.2482798,1.1457697
True,14/OCT/1999,-38.07583,147.53167,15,,2722112,2377653,False,False,False,True,270.4011,22.5989,68.4011,16.5989,1764.96,1499.1835,1.273715,1.1774508,1.2732636,1.1757718,1.2812675,1.1741793
True,14/OCT/1999,-38.07444,147.53111,15,,2722067,2377809,False,False,False,True,270.4395,22.5605,68.4395,16.5604,1723.3773,1459.1553,1.2696575,1.1761353,1.2702303,1.1756669,1.2790967,1.1752217
True,07/DEC/2000,-38.1225,147.46611,15,,2716228,2372625,False,True,False,True,269.4932,20.5071,68.4929,15.5071,1728.7079,1490.1428,1.2666037,1.1807393,1.2639961,1.180459,1.26567,1.1711078
True,01/NOV/2010,-36.97667,142.38722,5,,2267425,2499396,False,True,False,False,312.5768,-3.7196,64.7196,49.7307,1780.8861,1534.0166,1.2625587,1.1845163,1.2615004,1.1754205,1.2323042,1.1671104
True,07/APR/2011,-37.70313,144.04677,100,,2415946,2421552,False,True,False,True,271.3718,13.2451,59.7445,31.6408,2119.7957,1528.096,1.3069686,1.1800499,1.3103063,1.1768197,1.3154013,1.1747752
True,02/DEC/2008,-37.239934,142.297056,10,,2260231,2469972,False,True,False,True,283.613,10.864,53.1558,74.109,1928.3268,1450.0802,1.2892619,1.180263,1.2839359,1.1768318,1.2611285,1.1664348
True,31/OCT/2017,-38.06863,141.2735,5,,2173074,2375006,False,True,False,True,260.4325,3.5668,81.4191,77.8418,2158.0884,1173.0083,1.3453648,1.1469679,1.3560011,1.1469908,1.3529154,1.1452104
True,23/FEB/1999,-37.38667,141.08833,15,,2153728,2449978,False,False,False,False,291.366,-3.3541,72.3541,59.6459,1941.6158,1704.4214,1.2709326,1.183921,1.2777127,1.1735687,1.2917391,1.1659627
True,09/APR/2008,-38.06278,147.55167,15,,2723905,2379054,False,False,False,True,270.5244,22.4756,68.5244,16.4756,1841.364,1475.9462,1.2757927,1.1684494,1.2733823,1.1697998,1.2769477,1.1664833
True,10/DEC/1998,-38.07167,147.52472,15,,2721515,2378131,False,False,False,True,271.5871,22.2461,68.7539,15.2506,1846.6594,1483.7706,1.2896104,1.1806625,1.2879266,1.1785601,1.2806462,1.1740521
True,22/JAN/1999,-38.15528,147.42389,15,,2712434,2369083,False,False,False,True,268.9297,20.0703,67.9297,15.0705,1731.4827,1447.065,1.2712017,1.1796387,1.263401,1.1791983,1.2684191,1.1770247
True,03/FEB/1999,-38.12611,147.45333,15,,2715097,2372254,False,True,False,True,267.1732,23.0691,65.3947,18.0691,1683.0188,1476.4698,1.2633008,1.1824464,1.2613146,1.1839261,1.2613198,1.1800735
True,16/FEB/1999,-38.06194,147.55806,15,,2724468,2379133,False,False,False,True,270.578,22.4266,68.5734,16.4266,1943.5714,1480.4487,1.2973659,1.1689904,1.2865736,1.1683885,1.2411652,1.120762
True,15/MAY/1999,-38.15083,147.4225,15,,2712325,2369580,False,True,False,True,269.4441,19.556,68.4432,14.556,1664.171,1518.7687,1.2551798,1.1838996,1.2561741,1.1833704,1.2585118,1.1823114
True,07/DEC/2000,-38.12333,147.46778,15,,2716372,2372530,False,True,False,True,269.2974,20.7026,68.2974,15.7026,1713.2778,1508.918,1.2619312,1.1815046,1.2681967,1.1801484,1.2590936,1.1588124
True,08/SEP/2014,-37.56436,145.256035,125,,2522618,2437343,False,False,False,False,295.4024,15.86,76.6622,30.7789,1854.6261,1682.9553,1.2498283,1.1782905,1.2477849,1.190568,1.2554108,1.197194
True,24/NOV/2016,-38.171207,147.392783,3,,2709664,2367385,False,True,False,True,268.5803,19.4197,67.5803,15.4197,1673.6566,1536.8871,1.2579048,1.1895635,1.2588532,1.1831051,1.2616824,1.1837109
True,24/NOV/2016,-38.162852,147.406265,4,,2710868,2368282,False,True,False,True,269.62,19.3795,68.62,14.38,1656.3289,1571.8142,1.2484462,1.186903,1.2532666,1.1863209,1.262577,1.1843126
True,02/NOV/2017,-37.20388,142.34239,5,,2264139,2474084,False,True,False,True,310.8436,-5.8436,70.8436,49.1586,1578.2627,1621.4088,1.2226356,1.1926562,1.2287633,1.1894172,1.2365991,1.1903799
True,05/DEC/1998,-38.19861,141.88056,15,,2226783,2362501,False,False,False,False,265.5481,-2.7628,91.7264,55.9203,2347.9692,1270.6487,1.3703003,1.1586989,1.3361336,1.1749852,1.3269259,1.1788588
True,09/DEC/1998,-38.07056,147.52444,15,,2721494,2378255,False,False,False,True,271.7901,22.2094,68.7906,15.2183,1818.0388,1449.8807,1.2861758,1.1792116,1.2832034,1.1769269,1.2801721,1.1730499
True,20/JAN/1999,-38.06944,147.51778,15,,2720913,2378395,False,False,False,True,271.5057,22.4943,68.5017,15.4943,1685.0803,1276.7412,1.2653557,1.1518588,1.2798218,1.1608778,1.2879765,1.1704103
True,01/FEB/1999,-38.15583,147.4225,15,,2712311,2369025,False,False,False,True,269.1413,19.8587,68.1413,14.86,1698.8778,1448.1791,1.2654154,1.1793112,1.2631176,1.1789267,1.2685807,1.1766171
True,21/JAN/1999,-38.15444,147.42222,15,,2712290,2369180,False,True,False,True,269.4618,19.5382,68.4616,14.5478,1847.6381,1652.8276,1.2688324,1.1858598,1.2593474,1.1829697,1.2636896,1.179998
True,18/MAR/1999,-38.12333,147.4675,15,,2716347,2372530,False,True,False,True,269.3731,20.6269,68.3731,15.6269,1724.9233,1509.8563,1.2647033,1.1818533,1.2672467,1.1808046,1.262639,1.1643975
True,22/NOV/1999,-38.12556,147.445,15,,2714368,2372334,False,True,False,True,270.3535,20.6465,67.3535,15.6465,1778.6008,1752.6127,1.2385181,1.1699129,1.249845,1.1817594,1.2583233,1.1823398
True,03/OCT/2000,-38.18111,147.3825,15,,2708735,2366308,False,False,False,True,268.9489,19.0345,67.9655,15.0345,1702.6399,1521.767,1.2638743,1.1863322,1.2660309,1.1867676,1.2698846,1.1854717
True,26/MAY/2011,-36.80088,144.98338,100,,2498516,2522094,False,True,False,True,325.5194,-1.5194,67.5194,20.4806,1777.1075,1896.4905,1.2222189,1.1978419,1.2312188,1.1978449,1.234908,1.1992067
True,02/NOV/2017,-37.20388,142.34239,5,,2264139,2474084,False,True,False,True,310.8436,-5.8436,70.8436,49.1586,1578.2627,1621.4088,1.2226356,1.1926562,1.2287633,1.1894172,1.2365991,1.1903799
True,02/NOV/2017,-37.11143,142.3898,5,,2268065,2484455,False,True,False,True,296.3175,4.72,59.2199,71.0817,1919.3878,1460.8514,1.2690175,1.1607654,1.2665399,1.1577636,1.2627751,1.162824
True,22/OCT/2008,-37.38556,144.57361,15,,2462243,2457131,False,True,False,True,250.8825,26.1215,43.5348,76.5078,1463.7426,746.65643,1.2501259,1.10372,1.2975949,1.1007805,1.3322928,1.1113861
True,18/JAN/1999,-38.07028,147.5175,15,,2720886,2378302,False,False,False,True,271.5924,22.4076,68.5923,15.4076,1712.5878,1306.7522,1.2727408,1.1594431,1.2816583,1.1638957,1.2882305,1.1711944
True,18/JAN/1999,-38.07028,147.51778,15,,2720910,2378301,False,False,False,True,271.5924,22.4076,68.5923,15.4076,1712.5878,1306.7522,1.2727408,1.1594431,1.2816583,1.1638957,1.2882305,1.1711944
True,03/FEB/1999,-38.12611,147.45222,15,,2715000,2372256,False,True,False,True,267.4224,23.0308,65.4888,18.0308,1682.8566,1477.5542,1.2645316,1.1832379,1.2606336,1.1844832,1.2609117,1.1805842
True,20/MAR/1999,-38.1225,147.46722,15,,2716325,2372623,False,True,False,True,269.5018,20.4982,68.5018,15.4982,1728.3315,1493.3514,1.2629453,1.1795129,1.2655083,1.1799145,1.2644968,1.1679397
True,05/MAY/2011,-37.33725,142.221,100,,2253801,2458983,False,True,False,True,299.732,-0.7962,66.7992,45.5869,1859.6017,1555.173,1.262839,1.1722354,1.2676845,1.1753677,1.2614596,1.1763599
True,26/APR/2011,-37.40901,144.66647,100,,2470475,2454562,False,True,False,False,271.078,16.8773,54.3721,53.4719,1553.8364,871.67303,1.2598671,1.1177691,1.284304,1.1203357,1.3251879,1.1456695
False,11/OCT/2011,-36.78874,144.350473,5,,2442033,2523243,False,True,False,False,322.6976,-2.6624,59.6976,28.3376,1938.4834,2314.673,1.1956571,1.1876253,1.2093607,1.1933603,1.2206539,1.1896665
True,02/NOV/2017,-37.17939,142.36821,5,,2266355,2476864,False,True,False,True,305.7296,1.6089,65.7296,59.2689,1919.745,1685.0446,1.266683,1.1922289,1.2622403,1.1882898,1.2531459,1.1916189
True,17/FEB/1999,-37.15306,141.13528,15,,2156830,2476049,False,True,False,True,301.5691,-4.5691,70.5691,53.4067,1889.669,1847.0864,1.2473848,1.1919745,1.2389226,1.2011914,1.229315,1.2085211
True,25/SEP/2008,-37.42306,144.62611,150,,2466908,2452989,False,True,False,False,272.8143,17.2345,54.2336,50.6033,1884.6296,1287.2021,1.2868066,1.1619551,1.2923679,1.1613802,1.2974721,1.1646281
True,17/FEB/1999,-38.06361,147.55667,15,,2724342,2378950,False,False,False,True,270.2012,22.7988,68.2012,16.7988,1826.7454,1379.5334,1.288439,1.1674176,1.2879508,1.1653341,1.2387004,1.1158382
True,17/FEB/1999,-38.06278,147.55806,15,,2724466,2379039,False,False,False,True,271.0231,21.9769,69.0231,15.9769,1908.2817,1376.0883,1.304314,1.1687452,1.2909642,1.1660768,1.2332401,1.1094767
True,15/MAY/1999,-38.15028,147.42333,15,,2712399,2369639,False,True,False,True,269.4138,19.5862,68.4125,14.5862,1740.8977,1594.3931,1.2546885,1.1798911,1.2587616,1.1832061,1.2591032,1.1823201
True,20/NOV/2012,-36.9787,142.33347,5,,2262648,2499039,False,False,False,False,314.1029,-3.601,64.5776,42.9476,1978.0667,2623.7625,1.1998627,1.213849,1.2030694,1.2109038,1.2019488,1.2095075
False,01/MAR/2005,-38.3433,144.16611,5,,2427092,2350596,False,True,False,True,264.5641,2.4453,86.4559,34.8756,1888.3156,1798.996,1.2657194,1.2050812,1.2631512,1.1868055,1.2725424,1.1847693
True,15/JUN/2011,-36.86348,147.62794,100,,2734270,2511914,False,True,False,False,290.8192,23.7368,34.8853,67.1771,2052.423,1614.1035,1.2958376,1.1819857,1.3006233,1.1897781,1.3063916,1.1837748
True,20/MAY/2011,-37.17417,141.12997,100,,2156454,2473689,False,False,False,False,298.5099,-2.6934,68.6934,56.3066,1780.961,1766.9846,1.245194,1.19916,1.242289,1.2006551,1.2502669,1.1975698
True,20/MAY/2011,-36.9821,141.05782,100,,2149171,2494721,False,False,False,False,307.3637,-4.3431,70.3637,47.789,2049.8413,2144.2986,1.2333224,1.1847669,1.2352276,1.1783905,1.2330178,1.1815655
True,24/APR/2017,-37.980725,145.033374,10,,2502932,2391163,True,False,False,False,282.1973,16.8021,81.1979,28.8021,2176.5813,1547.7906,1.309363,1.150146,1.2917733,1.1467718,1.2978556,1.1463298
True,24/NOV/2016,-38.147357,147.396352,3,,2710043,2370023,False,False,False,True,269.8887,20.1113,66.8887,15.1113,1863.1533,1575.1747,1.2821562,1.189035,1.2725972,1.1903901,1.266876,1.1956264
True,31/OCT/2017,-38.15514,141.2903,5,,2174921,2365469,False,True,False,True,250.6205,6.5616,78.5668,88.4529,2159.046,1129.6232,1.3491765,1.1450641,1.3369484,1.150211,1.3319615,1.1562717
True,06/FEB/1999,-38.035,141.27778,15,,2173303,2378751,False,True,False,True,263.6075,2.6916,81.6779,74.7809,1828.1947,1091.7103,1.291106,1.1348654,1.2995768,1.1377879,1.3123684,1.1536753
True,21/JAN/1999,-37.11444,141.50389,15,,2189388,2481597,False,True,False,True,304.6227,-4.6227,67.0113,46.3773,1958.3514,2164.1777,1.2335042,1.2060009,1.2389874,1.2028695,1.234858,1.2005609
True,24/JAN/1999,-37.24917,141.37806,15,,2178783,2466240,False,False,False,False,295.5633,-2.5633,66.5633,54.614,1802.5651,1666.5635,1.2534151,1.1898526,1.2618188,1.1871748,1.2603623,1.1914812
True,21/FEB/1999,-37.35639,141.3775,15,,2179186,2454348,False,True,False,True,290.377,-1.377,66.377,57.3048,1870.5496,1460.771,1.2789129,1.180706,1.2792522,1.1828758,1.2754666,1.1856773
True,16/FEB/1999,-38.06194,147.55833,15,,2724492,2379132,False,False,False,True,270.578,22.4266,68.5734,16.4266,1943.5714,1480.4487,1.2973659,1.1689904,1.2865736,1.1683885,1.2411652,1.120762
True,17/FEB/1999,-38.06361,147.55694,15,,2724365,2378950,False,False,False,True,270.2012,22.7988,68.2012,16.7988,1826.7454,1379.5334,1.288439,1.1674176,1.2879508,1.1653341,1.2387004,1.1158382
True,16/SEP/1999,-38.10889,147.46694,15,,2716339,2374134,False,True,False,True,270.3384,21.6616,67.3384,15.6616,1676.6538,1438.973,1.264563,1.1799706,1.2574075,1.178628,1.259706,1.1790584
True,23/NOV/1999,-38.12667,147.44361,15,,2714243,2372214,False,True,False,True,270.3318,20.6413,67.3587,15.6413,1620.8744,1529.5138,1.2497133,1.1878041,1.2509922,1.1829572,1.2594674,1.1822642
True,04/OCT/2000,-38.18194,147.38333,15,,2708806,2366214,False,False,False,True,268.7522,18.8292,68.1708,14.8292,1732.1099,1555.4841,1.2632849,1.1871607,1.2639661,1.1862715,1.2712737,1.185746
True,02/OCT/2012,-37.7137,145.2818,5,,2524845,2420763,False,False,False,False,298.7238,12.4899,82.9518,23.1417,1613.7244,1233.0413,1.2353325,1.1347808,1.2746704,1.1695565,1.2740046,1.1771818
True,11/NOV/2008,-37.41272,144.66316,100,,2470183,2454149,False,True,False,False,267.6348,17.9579,53.5392,55.8472,1955.5824,1241.3676,1.3059667,1.1609368,1.3196628,1.163142,1.3303355,1.1498424
True,17/DEC/2011,-38.25214,147.20848,100,,2693309,2358793,False,False,False,True,266.2603,16.8806,65.5464,15.4514,1821.644,1560.3472,1.2771373,1.1866797,1.2758424,1.1852559,1.2764134,1.1867651
True,19/MAY/2011,-37.64138,141.2233,100,,2166791,2422216,False,True,False,True,278.7689,1.2925,71.7152,63.6994,2056.97,1893.094,1.2701118,1.1917992,1.2641251,1.195889,1.2428921,1.199298
True,21/JUN/2011,-37.70613,143.61918,100,,2378250,2420757,False,True,False,False,292.0604,0.7309,68.178,23.8956,2020.9177,1505.2452,1.2919859,1.1717619,1.2979019,1.1774596,1.2816203,1.1841209
True,29/AUG/2016,-38.428297,145.537447,3,,2546936,2341346,False,False,False,False,265.2238,21.7763,81.2487,64.4313,2152.1128,1274.1104,1.338363,1.1595054,1.3342514,1.1785483,1.3352771,1.1749635
True,08/SEP/2016,-37.35619,142.027568,2,,2236735,2456365,False,True,False,True,308.9562,-13.5941,78.5357,31.457,1820.236,2021.0176,1.2267573,1.2085836,1.2297235,1.2037467,1.2341114,1.2051555
True,29/SEP/2017,-37.807268,145.20517,10,,2518066,2410396,True,False,False,False,289.6635,20.717,80.9629,34.1733,2085.442,1367.4,1.3289022,1.1691611,1.3062894,1.1614846,1.2969384,1.1536176
True,02/NOV/2017,-37.11143,142.3898,5,,2268065,2484455,False,True,False,True,296.3175,4.72,59.2199,71.0817,1919.3878,1460.8514,1.2690175,1.1607654,1.2665399,1.1577636,1.2627751,1.162824
True,02/NOV/2017,-37.18028,142.31364,5,,2261515,2476630,False,True,False,True,305.3706,-0.119,65.119,53.8821,1745.2303,1747.7997,1.2378219,1.1924355,1.2391951,1.1921446,1.2353796,1.1900651
True,11/JAN/1999,-38.05167,141.28278,15,,2173814,2376919,False,True,False,True,259.678,5.2933,79.2991,78.6449,2105.3687,1240.8347,1.3263148,1.143183,1.3294789,1.1467286,1.3209753,1.1583905
True,08/APR/2008,-38.06361,147.55639,15,,2724317,2378951,False,False,False,True,270.2012,22.7988,68.2012,16.7988,1826.7454,1379.5334,1.288439,1.1674176,1.2879508,1.1653341,1.2387004,1.1158382
True,16/MAR/1999,-38.18389,147.37361,15,,2707949,2366019,False,True,False,True,269.1529,18.2847,68.1529,14.6878,1891.2562,1589.5767,1.2796425,1.1806749,1.271124,1.1915226,1.2606249,1.1900233
True,16/SEP/1999,-38.10889,147.4675,15,,2716389,2374133,False,True,False,True,270.5729,21.4271,67.5729,15.4271,1659.8531,1438.9692,1.2614582,1.1794088,1.2578204,1.1786473,1.2597272,1.1789788
True,16/SEP/1999,-38.10944,147.46778,15,,2716412,2374071,False,True,False,True,270.6283,21.3717,67.6283,15.3717,1616.4049,1432.3804,1.2551502,1.1796376,1.256432,1.1788735,1.2594885,1.1788505
True,15/SEP/1999,-38.10861,147.46611,15,,2716268,2374167,False,True,False,True,270.0942,21.9058,67.0942,15.9058,1654.5979,1435.8584,1.2613893,1.1794707,1.2571772,1.1789522,1.2595863,1.1791629
True,26/OCT/1999,-38.05694,147.5525,15,,2723996,2379700,False,False,False,True,268.5607,25.1275,66.4,18.5599,1995.8695,1655.7405,1.2966808,1.1806046,1.2851962,1.1792228,1.1955417,1.1062795
True,03/OCT/2000,-38.18111,147.3825,15,,2708735,2366308,False,False,False,True,268.9489,19.0345,67.9655,15.0345,1702.6399,1521.767,1.2638743,1.1863322,1.2660309,1.1867676,1.2698846,1.1854717
True,04/MAY/2011,-37.34543,142.02705,100,,2236652,2457557,False,False,False,True,308.1832,-11.9426,76.9277,32.3671,1804.4247,1973.8702,1.2239494,1.2012005,1.2274635,1.2044306,1.2328638,1.2097466
True,16/NOV/2011,-37.44159,143.42188,100,,2360368,2449841,False,False,False,False,294.8232,-0.7964,65.7939,26.2547,2021.9948,1754.3029,1.2768588,1.1933877,1.2771258,1.1915691,1.2737176,1.190264
True,15/OCT/2009,-36.788254,144.339632,5,,2441065,2523290,False,True,False,False,326.8892,-5.9839,63.471,25.0183,1811.9888,1941.9923,1.2240689,1.1996338,1.2253009,1.1993866,1.2245739,1.1902232
True,07/SEP/2016,-37.353206,142.031705,3,,2237091,2456707,False,True,False,True,307.226,-11.226,76.226,33.427,1852.1158,1996.8619,1.2355186,1.2087607,1.2377181,1.2079939,1.2370491,1.2067485
